Identifier;DimensionGroupId;DimensionId;Index;Title;Description
NL00;NL;RegioS;1;Nederland, Buitenland, Niet in te delen;"Het totaal van Nederland (NL01), Buitenland (NL98) en Nederland; niet in te delen (NL99).

Niet in te delen: door een gebrek aan informatie of door onjuiste informatie is een toedeling aan Nederland of Buitenland niet altijd mogelijk."
NL01;NL;RegioS;2;Nederland;
NL98;NL;RegioS;3;Buitenland;
NL99;NL;RegioS;4;"Nederland; niet in te delen";Niet in te delen: door een gebrek aan informatie of door onjuiste informatie is een toedeling aan Nederland of Buitenland niet altijd mogelijk.
LD01;LD;RegioS;5;Noord-Nederland (LD);"LD = Landsdeel

Noord-Nederland: Groningen, Fryslân, Drenthe

Regionale groepering van provincies. Nederland telt 4 landsdelen."
LD02;LD;RegioS;6;Oost-Nederland (LD);"LD = Landsdeel

Oost-Nederland: Overijssel, Flevoland, Gelderland

Regionale groepering van provincies. Nederland telt 4 landsdelen."
LD03;LD;RegioS;7;West-Nederland (LD);"LD = Landsdeel

West-Nederland: Utrecht, Noord-Holland, Zuid-Holland, Zeeland

Regionale groepering van provincies. Nederland telt 4 landsdelen."
LD04;LD;RegioS;8;Zuid-Nederland (LD);"LD = Landsdeel

Zuid-Nederland: Noord-Brabant, Limburg

Regionale groepering van provincies. Nederland telt 4 landsdelen."
LD98;LD;RegioS;9;Buitenland (LD);"LD = Landsdeel

Regionale groepering van provincies. Nederland telt 4 landsdelen."
LD99;LD;RegioS;10;Niet in te delen (LD);"LD = Landsdeel

Regionale groepering van provincies. Nederland telt 4 landsdelen.

Niet in te delen: door een gebrek aan informatie of door onjuiste informatie is een toedeling aan een bepaald landsdeel niet altijd mogelijk."
PV20;PV;RegioS;11;Groningen (PV);"PV = Provincie

Bestuurlijke onderverdeling van het Nederlands grondgebied. Sinds het instellen van de provincie Flevoland per 1 januari 1986 telt Nederland 12 provincies."
PV21;PV;RegioS;12;Fryslân (PV);"PV = Provincie

Bestuurlijke onderverdeling van het Nederlands grondgebied. Sinds het instellen van de provincie Flevoland per 1 januari 1986 telt Nederland 12 provincies."
PV22;PV;RegioS;13;Drenthe (PV);"PV = Provincie

Bestuurlijke onderverdeling van het Nederlands grondgebied. Sinds het instellen van de provincie Flevoland per 1 januari 1986 telt Nederland 12 provincies."
PV23;PV;RegioS;14;Overijssel (PV);"PV = Provincie

Bestuurlijke onderverdeling van het Nederlands grondgebied. Sinds het instellen van de provincie Flevoland per 1 januari 1986 telt Nederland 12 provincies."
PV24;PV;RegioS;15;Flevoland (PV);"PV = Provincie

Bestuurlijke onderverdeling van het Nederlands grondgebied. Sinds het instellen van de provincie Flevoland per 1 januari 1986 telt Nederland 12 provincies."
PV25;PV;RegioS;16;Gelderland (PV);"PV = Provincie

Bestuurlijke onderverdeling van het Nederlands grondgebied. Sinds het instellen van de provincie Flevoland per 1 januari 1986 telt Nederland 12 provincies."
PV26;PV;RegioS;17;Utrecht (PV);"PV = Provincie

Bestuurlijke onderverdeling van het Nederlands grondgebied. Sinds het instellen van de provincie Flevoland per 1 januari 1986 telt Nederland 12 provincies."
PV27;PV;RegioS;18;Noord-Holland (PV);"PV = Provincie

Bestuurlijke onderverdeling van het Nederlands grondgebied. Sinds het instellen van de provincie Flevoland per 1 januari 1986 telt Nederland 12 provincies."
PV28;PV;RegioS;19;Zuid-Holland (PV);"PV = Provincie

Bestuurlijke onderverdeling van het Nederlands grondgebied. Sinds het instellen van de provincie Flevoland per 1 januari 1986 telt Nederland 12 provincies."
PV29;PV;RegioS;20;Zeeland (PV);"PV = Provincie

Bestuurlijke onderverdeling van het Nederlands grondgebied. Sinds het instellen van de provincie Flevoland per 1 januari 1986 telt Nederland 12 provincies."
PV30;PV;RegioS;21;Noord-Brabant (PV);"PV = Provincie

Bestuurlijke onderverdeling van het Nederlands grondgebied. Sinds het instellen van de provincie Flevoland per 1 januari 1986 telt Nederland 12 provincies."
PV31;PV;RegioS;22;Limburg (PV);"PV = Provincie

Bestuurlijke onderverdeling van het Nederlands grondgebied. Sinds het instellen van de provincie Flevoland per 1 januari 1986 telt Nederland 12 provincies."
