"Bedrijfstakken/branches (SBI 2008)";"Perioden";"Regio's";"Vestigingen (Aantal)"
"A-U Alle economische activiteiten";"2019";"Groningen (PV)";"55360"
"A-U Alle economische activiteiten";"2019";"Fryslân (PV)";"68655"
"A-U Alle economische activiteiten";"2019";"Drenthe (PV)";"48430"
"A-U Alle economische activiteiten";"2019";"Overijssel (PV)";"114530"
"A-U Alle economische activiteiten";"2019";"Flevoland (PV)";"44020"
"A-U Alle economische activiteiten";"2019";"Gelderland (PV)";"225590"
"A-U Alle economische activiteiten";"2019";"Utrecht (PV)";"166225"
"A-U Alle economische activiteiten";"2019";"Noord-Holland (PV)";"389755"
"A-U Alle economische activiteiten";"2019";"Zuid-Holland (PV)";"394370"
"A-U Alle economische activiteiten";"2019";"Zeeland (PV)";"39855"
"A-U Alle economische activiteiten";"2019";"Noord-Brabant (PV)";"282580"
"A-U Alle economische activiteiten";"2019";"Limburg (PV)";"103865"
"A-U Alle economische activiteiten";"2019";"Buitenland (PV)";"0"
"A-U Alle economische activiteiten";"2019";"Niet in te delen (PV)";"4025"
