"Bedrijfstakken/branches (SBI 2008)","Perioden","Regio's","Oprichtingen van vestigingen (aantal)"
"A-U Alle economische activiteiten","2017","Nederland","170.310"
"A-U Alle economische activiteiten","2018","Nederland","185.970"
"A-U Alle economische activiteiten","2019","Nederland","209.750"
"A-U Alle economische activiteiten","2020","Nederland","210.625"
"A-U Alle economische activiteiten","2021","Nederland","233.775"
"A-U Alle economische activiteiten","2022**","Nederland","242.415"
"A-U Alle economische activiteiten","2023*","Nederland","257.955"
"A-U Alle economische activiteiten","2017","Groningen (PV)","4.605"
"A-U Alle economische activiteiten","2018","Groningen (PV)","4.845"
"A-U Alle economische activiteiten","2019","Groningen (PV)","5.405"
"A-U Alle economische activiteiten","2020","Groningen (PV)","5.720"
"A-U Alle economische activiteiten","2021","Groningen (PV)","6.155"
"A-U Alle economische activiteiten","2022**","Groningen (PV)","6.165"
"A-U Alle economische activiteiten","2023*","Groningen (PV)","6.890"
"A-U Alle economische activiteiten","2017","Fryslân (PV)","4.820"
"A-U Alle economische activiteiten","2018","Fryslân (PV)","5.070"
"A-U Alle economische activiteiten","2019","Fryslân (PV)","5.630"
"A-U Alle economische activiteiten","2020","Fryslân (PV)","5.975"
"A-U Alle economische activiteiten","2021","Fryslân (PV)","6.770"
"A-U Alle economische activiteiten","2022**","Fryslân (PV)","6.635"
"A-U Alle economische activiteiten","2023*","Fryslân (PV)","7.105"
"A-U Alle economische activiteiten","2017","Drenthe (PV)","3.395"
"A-U Alle economische activiteiten","2018","Drenthe (PV)","3.715"
"A-U Alle economische activiteiten","2019","Drenthe (PV)","3.930"
"A-U Alle economische activiteiten","2020","Drenthe (PV)","4.040"
"A-U Alle economische activiteiten","2021","Drenthe (PV)","4.560"
"A-U Alle economische activiteiten","2022**","Drenthe (PV)","4.500"
"A-U Alle economische activiteiten","2023*","Drenthe (PV)","4.710"
"A-U Alle economische activiteiten","2017","Overijssel (PV)","8.980"
"A-U Alle economische activiteiten","2018","Overijssel (PV)","9.345"
"A-U Alle economische activiteiten","2019","Overijssel (PV)","10.305"
"A-U Alle economische activiteiten","2020","Overijssel (PV)","10.635"
"A-U Alle economische activiteiten","2021","Overijssel (PV)","12.150"
"A-U Alle economische activiteiten","2022**","Overijssel (PV)","12.085"
"A-U Alle economische activiteiten","2023*","Overijssel (PV)","13.345"
"A-U Alle economische activiteiten","2017","Flevoland (PV)","4.310"
"A-U Alle economische activiteiten","2018","Flevoland (PV)","4.745"
"A-U Alle economische activiteiten","2019","Flevoland (PV)","5.585"
"A-U Alle economische activiteiten","2020","Flevoland (PV)","5.575"
